employees,load_employee_data,employee_master
departments,load_department_data,department_master
salaries,calculate_salary,salary_history
employee_master,transform_employee_data,employee_info
department_master,transform_department_data,department_info
employee_info,generate_employee_report,employee_report
salary_history,calculate_bonus,bonus_info
bonus_info,generate_payroll_report,payroll_report
employee_master,update_employee_data,updated_employee_info
department_master,update_department_data,updated_department_info
employee_info,generate_performance_report,performance_report
salary_history,calculate_tax,tax_info
employee_master,update_employee_status,updated_employee_info
department_master,update_department_head,updated_department_info
department_info,generate_department_report,department_report
salary_history,generate_tax_report,tax_report
employee_report,send_employee_email,employee_email
department_report,send_department_email,department_email
payroll_report,send_payroll_email,payroll_email
performance_report,send_performance_email,performance_email
tax_report,send_tax_email,tax_email
slvr_data,load_slvr_data,slvr_table
slvr_table,transform_slvr_data,slvr_info
slvr_info,generate_slvr_report,slvr_report
slvr_report,send_slvr_email,slvr_email
gold_data,load_gold_data,gold_table
gold_table,transform_gold_data,gold_info
gold_info,generate_gold_report,gold_report
gold_report,send_gold_email,gold_email
